CD_CVM,rank,DENOM_CIA,setor,score_0_100,score_bruto,obj1_teto_rs,obj1_teto_pct_receita,obj1_0_100,obj2_potencial_viavel_rs,obj2_viavel_pct_receita,obj2_desconto_financeiro_rs,obj2_0_100,obj3_potencial_final_rs,obj3_viavel_pct_receita,obj3_boost_readiness_rs,obj3_0_100,exposicao,exposicao_0_100,f_fin,f_fin_0_100,readiness,readiness_0_100,mult_setor,rho_captura,fator_execucao,obj2_desconto_captura_rs,obj2_desconto_total_rs,obj3_ajuste_execucao_rs,receita,sga,vendas,pessoal,cpv,pdd,estoques,caixa,divida_liquida,ebitda,ativo_total,valor_sga_rs,valor_vendas_rs,valor_pessoal_rs,valor_cpv_rs,valor_pdd_rs,valor_estoques_rs,contrib_sga,contrib_vendas,contrib_pessoal,contrib_cpv,contrib_pdd,contrib_estoques,caixa_sobre_ativo,dl_sobre_ebitda,valido
10456,21.0,ALPARGATAS S.A.,outros,41.33962498784521,0.164082758194034,1252484980.0,27.437449094980497,70.1530612244898,876739486.0,19.20621436648635,0.0,82.90816326530613,749017116.7282327,16.4082758194034,-127722369.27176726,82.90816326530613,0.274374490949805,75.0,1.0,100.0,0.026189000777134343,2.6189000777134344,1.0,0.7,0.8543211851282272,375745494.00000006,375745494.0,-127722369.27176726,4564874000.0,273831000.0,1357043000.0,1088396000.0,2183228000.0,,760114000.0,555595000.0,679938000.0,855531000.0,6096758000.0,82149300.0,434253760.0,380938600.0,218322800.0,0.0,136820520.0,0.017995962210567037,0.0951294077339265,0.08344997036062769,0.04782668700165657,0.0,0.029972463643027164,0.09112958067221956,0.7947555377888118,True
8192,22.0,TREVISA INVESTIMENTOS S.A.,tecnologia,41.203730273774966,0.16356454673145204,43344060.0,27.423056239204847,5.357142857142857,30340841.999999996,19.196139367443386,0.0,15.561224489795919,25852521.56273311,16.3564546731452,-4488320.437266886,15.306122448979592,0.27423056239204846,74.74489795918367,1.0,100.0,0.012545518424370183,1.2545518424370183,1.2,0.7,0.8520700105400211,13003218.000000002,13003218.000000004,-4488320.437266886,158057000.0,21111000.0,0.0,53575000.0,109482000.0,,485000.0,28108000.0,8600000.0,47667000.0,241935000.0,7599960.0,0.0,22501500.0,13137840.0,0.0,104760.0,0.048083666019220914,0.0,0.14236319808676617,0.08312089942236028,0.0,0.0006627988637010699,0.11617996569326472,0.1804183187530157,True
25089,23.0,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,tecnologia,41.13868851805721,0.1633165210183844,1093846176.0,30.49794977000643,67.3469387755102,689123090.88,19.21370835510405,109384617.59999998,79.33673469387756,585754627.248,16.331652101838444,-103368463.63199997,79.33673469387756,0.3049794977000643,83.92857142857143,0.9,90.0,0.0,0.0,1.2,0.7,0.85,295338467.52000004,404723085.12,-103368463.63199997,3586622000.0,370179000.0,1109612000.0,495914000.0,1900870000.0,,454178000.0,122832000.0,686174000.0,521884000.0,3932838000.0,133264440.0,426091008.0,208283880.0,228104400.0,0.0,98102448.0,0.03715597573427029,0.11880008765908422,0.05807243696157554,0.06359867306897687,0.0,0.027352324276157344,0.03123240774219533,1.3148017567122197,True
24317,24.0,ZAMP SA,outros,41.03003710664358,0.16290219727367167,1591587930.0,30.420578389107682,73.9795918367347,1002700395.9,19.16496438513784,159158792.99999997,84.43877551020408,852295336.515,16.290219727367163,-150405059.385,84.43877551020408,0.3042057838910769,83.41836734693877,0.9,90.0,0.0,0.0,1.0,0.7,0.85,429728741.1000001,588887534.1,-150405059.385,5231945000.0,371746000.0,2847398000.0,1015319000.0,1825339000.0,,172229000.0,208256000.0,1049199000.0,719451000.0,4709699000.0,111523800.0,911167360.0,355361650.0,182533900.0,0.0,31001220.0,0.02131593508723811,0.1741546136283925,0.06792151867039886,0.034888344583133044,0.0,0.005925371921914316,0.0442185371082101,1.4583328121025616,True
8427,25.0,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,outros,40.52346831008727,0.16097048301415942,54366380.0,36.04958557124859,7.908163265306123,28542349.5,18.926032424905507,13591595.0,14.795918367346939,24275958.543365385,16.097048301415946,-4266390.956634615,14.795918367346939,0.3604958557124859,92.60204081632652,0.75,75.0,0.003176878128089143,0.31768781280891434,1.0,0.7,0.8505241848911347,12232435.500000002,25824030.5,-4266390.956634615,150810000.0,41471000.0,33451000.0,46722000.0,93930000.0,,30417000.0,453000.0,252111000.0,250075000.0,353051000.0,12441300.0,10704320.0,16352699.999999998,9393000.0,0.0,5475060.0,0.08249651879848817,0.07097884755652809,0.10843246469067039,0.06228366819176448,0.0,0.036304356475034806,0.0012831007418191707,1.0081415575327402,True
8133,26.0,LOJAS RENNER S.A.,varejo,39.271457730052134,0.1561961528403403,4027690117.0,29.16510221894858,87.5,2537444773.71,18.374014397937604,402769011.6999999,92.60204081632652,2157063247.663597,15.619615284034028,-380381526.04640293,92.60204081632652,0.29165102218948585,80.10204081632652,0.9,90.0,0.0005617438516720679,0.05617438516720679,1.1,0.7,0.8500926877355258,1087476331.5900002,1490245343.29,-380381526.04640293,13809964000.0,2010546000.0,4132724000.0,2268233000.0,6061578000.0,,1865898000.0,978066000.0,-218316000.0,3088118000.0,19626027000.0,663480180.0,1454718848.0000002,873269705.0,666773580.0000001,0.0,369447804.0,0.048043585052068204,0.10533835193198189,0.06323475607901657,0.048282065036520015,0.0,0.02675226408989915,0.049835150028072414,-0.07069548508185244,True
24848,27.0,C&A MODAS S.A.,outros,39.11640088772948,0.1556048698489958,2087709480.0,26.152078966217786,78.57142857142857,1461396636.0,18.306455276352448,0.0,88.26530612244898,1242187140.6,15.560486984899583,-219209495.4000001,88.26530612244898,0.26152078966217784,72.44897959183673,1.0,100.0,0.0,0.0,1.0,0.7,0.85,626312844.0000001,626312844.0,-219209495.4000001,7982958000.0,959532000.0,2511645000.0,1084220000.0,3550502000.0,134301000.0,1154866000.0,774521000.0,1146423000.0,1389161000.0,9318633000.0,287859600.0,803726400.0,379477000.0,355050200.0,53720400.0,207875880.0,0.03605926524979838,0.10068027415401659,0.04753588832610668,0.04447602004169382,0.006729385272977762,0.026039956617584608,0.08311530242686883,0.8252628744976285,True
20370,28.0,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,outros,39.04810106103276,0.15534442003438192,52947150.0,26.06462109501915,7.3979591836734695,37063005.0,18.245234766513406,0.0,18.367346938775512,31556354.796944283,15.534442003438196,-5506650.203055717,18.367346938775512,0.26064621095019147,72.1938775510204,1.0,100.0,0.008634035875230171,0.8634035875230172,1.0,0.7,0.851424615919413,15884145.000000002,15884145.0,-5506650.203055717,203138000.0,98716000.0,14980000.0,39643000.0,46637000.0,,0.0,46663000.0,-46663000.0,69745000.0,396987000.0,29614800.0,4793600.0,13875050.0,4663700.0,0.0,0.0,0.14578660811861885,0.023597751282379464,0.06830356703324833,0.022958284515944827,0.0,0.0,0.11754289183273003,-0.6690515449136138,True
25208,29.0,TRACK & FIELD CO S.A.,outros,37.46891328645697,0.1493224550745715,291816510.0,27.884678818780866,33.6734693877551,183844401.29999998,17.567347655831945,29181650.999999993,53.826530612244895,156267741.105,14.93224550745715,-27576660.194999993,53.826530612244895,0.2788467881878086,77.8061224489796,0.9,90.0,0.0,0.0,1.0,0.7,0.85,78790457.70000002,107972108.70000002,-27576660.194999993,1046512000.0,185918000.0,196704000.0,194073000.0,445218000.0,,336936000.0,35255000.0,135668000.0,232356000.0,974206000.0,55775400.0,62945280.0,67925550.0,44521800.0,0.0,60648480.0,0.053296474383475775,0.060147690614154446,0.06490661358875961,0.04254303820691975,0.0,0.05795297139449906,0.0361884447437195,0.5838799084163955,True
11762,30.0,VULCABRAS S.A.,outros,37.32032536452682,0.1487558402148822,988294530.0,27.758844441473396,65.81632653061224,622625553.9,17.48807199812824,98829452.99999999,77.04081632653062,529613484.0911224,14.875584021488223,-93012069.80887759,77.04081632653062,0.27758844441473396,77.04081632653062,0.9,90.0,0.0037160646724049215,0.3716064672404922,1.0,0.7,0.8506131506709468,266839523.10000005,365668976.1,-93012069.80887759,3560287000.0,216654000.0,634200000.0,1028983000.0,2099263000.0,,834911000.0,203970000.0,1748568000.0,884008000.0,3878996000.0,64996200.0,202944000.0,360144050.0,209926300.0,0.0,150283980.0,0.018255887797809556,0.057002146175294297,0.10115590400436819,0.058963308295089695,0.0,0.042211198142172245,0.05258319420798578,1.9780001990932208,True
