CD_CVM,receita,cpv,vendas,sga,ebit,pdd,caixa,estoques,ativo_total,intangivel,software,divida,pessoal,depreciacao,fco,template,pdd_fonte,alerta_receita,DENOM_CIA,setor_cvm,categoria_cvm,mercado_cvm,origem_dfp,setor,setor_fonte,ebitda,divida_liquida
8672,1236345000.0,406667000.0,163231000.0,0.0,720864000.0,3488000.0,49040000.0,30169000.0,8503874000.0,113881000.0,,3436199000.0,155816000.0,193898000.0,447107000.0,padrao,dva,False,IGUATEMI S.A.,Emp. Adm. Part. - Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,varejo,cvm,914762000.0,3387159000.0
8745,419327000.0,319394000.0,33530000.0,19751000.0,43246000.0,4000.0,38378000.0,39962000.0,177412000.0,98000.0,92000.0,0.0,21489000.0,0.0,26457000.0,padrao,dva,False,METANOR SA METANOL DO NE,Petroquímicos e Borracha,Categoria A,,consolidado,commodities,cvm,43246000.0,-38378000.0
8753,506964306.0,392448587.0,48719377.0,33509477.0,32249443.0,358270.0,168625460.0,144591495.0,555656591.0,170916.0,170916.0,46133895.0,101426312.0,13048942.0,46155277.0,padrao,dva,False,METISA METALURGICA TIMBOENSE S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,45298385.0,-122491565.0
8818,1312999000.0,1218719000.0,54277000.0,55105000.0,54638000.0,0.0,65206000.0,142090000.0,524630000.0,25217000.0,,29920000.0,59552000.0,8435000.0,246937000.0,padrao,dva,False,MINASMAQUINAS S.A.,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,,individual,industria,cvm,63073000.0,-35286000.0
8893,0.0,0.0,0.0,25309000.0,-64844000.0,0.0,805135000.0,0.0,2510241000.0,645000.0,,673220000.0,13683000.0,665000.0,-78456000.0,padrao,dre,False,MONTEIRO ARANHA S.A.,Emp. Adm. Part. - Sem Setor Principal,Categoria A,BOLSA,consolidado,outros,padrao,-64179000.0,-131915000.0
9067,47405389000.0,27402515000.0,2938547000.0,2627134000.0,15686224000.0,2585000.0,9067796000.0,7962324000.0,166106723000.0,13902303000.0,,101435531000.0,4687862000.0,9225034000.0,20567711000.0,padrao,dva,False,SUZANO HOLDING S.A.,Emp. Adm. Part. - Papel e Celulose,Categoria A,BOLSA,consolidado,commodities,cvm,24911258000.0,92367735000.0
9083,2539000.0,232000.0,0.0,2899000.0,35101000.0,0.0,19000.0,0.0,19700000.0,0.0,,37948000.0,447000.0,0.0,391000.0,padrao,dva,True,NORDON INDUSTRIAS METALURGICAS S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,individual,commodities,cvm,35101000.0,37929000.0
9342,4942462000.0,3371196000.0,1234979000.0,159860000.0,195279000.0,0.0,79995000.0,1151516000.0,3377453000.0,96671000.0,,1235805000.0,597372000.0,210164000.0,224449000.0,padrao,dre,False,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,Comércio (Atacado e Varejo),Categoria A,BOLSA,consolidado,varejo,cvm,405443000.0,1155810000.0
9393,459926000.0,623528000.0,9693000.0,72509000.0,-439359000.0,1569000.0,8524000.0,271750000.0,1627102000.0,3391000.0,,5217078000.0,156959000.0,86628000.0,76717000.0,padrao,dva,False,PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,-352731000.0,5208554000.0
9415,726361000.0,546554000.0,0.0,42711000.0,145743000.0,0.0,91089000.0,0.0,556434000.0,4129000.0,,4357000.0,41877000.0,7257000.0,34676000.0,padrao,dva,False,SAO PAULO TURISMO S.A.,Emp. Adm. Part. - Hospedagem e Turismo,Categoria A,BOLSA,individual,outros,padrao,153000000.0,-86732000.0
