CD_CVM,rank,DENOM_CIA,setor,setor_fonte,setor_cvm,categoria_cvm,mercado_cvm,origem_dfp,template,pdd_fonte,score_0_100,score_bruto,obj1_teto_rs,obj1_teto_pct_receita,obj1_0_100,obj2_potencial_viavel_rs,obj2_viavel_pct_receita,obj2_desconto_financeiro_rs,obj2_0_100,obj3_potencial_final_rs,obj3_viavel_pct_receita,obj3_boost_readiness_rs,obj3_0_100,exposicao,exposicao_score,exposicao_0_100,f_fin,f_fin_0_100,f_caixa,g_alavancagem,h_fco,readiness,readiness_bruto,readiness_efetiva,readiness_0_100,mult_setor,rho_captura,fator_execucao,obj2_desconto_captura_rs,obj2_desconto_total_rs,obj3_ajuste_execucao_rs,pessoal_modo,fator_pessoal_liquido,receita,sga,vendas,pessoal,cpv,pdd,estoques,sga_afetavel,vendas_afetavel,cpv_afetavel,pessoal_afetavel,caixa,divida_liquida,ebitda,ativo_total,fco,fco_sobre_receita,valor_sga_rs,valor_vendas_rs,valor_pessoal_rs,valor_cpv_rs,valor_pdd_rs,valor_estoques_rs,contrib_sga,contrib_vendas,contrib_pessoal,contrib_cpv,contrib_pdd,contrib_estoques,caixa_sobre_ativo,dl_sobre_ebitda,alerta_receita,valido,obj2_viavel_rs_rho_conservador,obj3_final_rs_rho_conservador,obj2_viavel_rs_rho_base,obj3_final_rs_rho_base,obj2_viavel_rs_rho_otimista,obj3_final_rs_rho_otimista
24597,458.0,CELEO REDES TRANSMISSÃO DE ENERGIA S.A.,utilities,cvm,Emp. Adm. Part. - Energia Elétrica,Categoria B,BALCÃO ORGANIZADO,consolidado,padrao,dre,2.6074491048529693,0.011423723621462838,9850554.753694583,6.357698677346944,0.8658008658008658,2068616.4982758625,1.3351167222428584,6895388.327586208,0.8658008658008658,1769980.3141858305,1.1423723621462838,-298636.184090032,0.8658008658008658,0.06357698677346944,0.06357698677346944,5.194805194805195,0.30000000000000004,30.000000000000004,0.75,0.4,1.0,0.027056277056277056,0.0,0.03756549578285064,2.7056277056277054,0.9,0.7,0.8556348243674275,886549.9278325127,7781938.25541872,-298636.184090032,liquido,0.707820197044335,154939000.0,9476000.0,0.0,16133000.0,45740000.0,325000.0,0.0,6707304.187192118,0.0,32375695.81280788,16133000.0,6913000.0,350023000.0,99723000.0,813631000.0,38229000.0,0.2467358121583333,1810972.130541872,0.0,5081895.0,2913812.6231527096,43875.0,0.0,0.011688291072885921,0.0,0.032799327477265244,0.018806192263747086,0.0002831759595711861,0.0,0.008496480591324568,3.5099525686150637,False,True,1477583.2130541876,1264271.652989879,2068616.4982758625,1769980.3141858305,2659649.783497538,2275688.9753817827
24589,459.0,ENERGISA TRANSMISSÃO DE ENERGIA S/A,utilities,cvm,Emp. Adm. Part. - Energia Elétrica,Categoria B,BOLSA,consolidado,padrao,dva,2.222643098944949,0.009986802916499365,87230109.2427392,5.487737331460631,20.12987012987013,18318322.940975234,1.1524248396067325,61061076.46991744,13.636363636363635,15874482.6287099,0.9986802916499365,-2443840.3122653347,13.41991341991342,0.05487737331460632,0.05487737331460632,2.813852813852814,0.30000000000000004,30.000000000000004,0.75,0.4,1.0,0.08874458874458875,9.780291707581334e-05,0.11060260260002883,8.874458874458876,0.9,0.7,0.8665903903900043,7850709.831846531,68911786.30176397,-2443840.3122653347,liquido,0.9418446997932518,1589546000.0,72466000.0,0.0,41349000.0,638544000.0,12225000.0,0.0,68251718.01521778,0.0,601409281.9847822,41349000.0,91492000.0,4091386000.0,880745000.0,10451631000.0,381663000.0,0.24010818183305171,18427963.8641088,0.0,13024935.0,54126835.37863041,1650375.0,0.0,0.011593224646602743,0.0,0.008194122724350222,0.03405175778406565,0.0010382681595877063,0.0,0.008753849040403359,4.645369545101023,False,True,13084516.386410883,11338916.163364215,18318322.940975234,15874482.6287099,23552129.49553959,20410049.09405559
27553,460.0,ENGELHART CTP (BRASIL) S.A.,commodities,cvm,"Agricultura (Açúcar, Álcool e Cana)",Categoria B,,consolidado,padrao,dva,2.09725048302843,0.009518568940694304,1836115673.654551,9.48345086435512,82.25108225108225,204841654.84208584,1.057997487054618,1543484738.1658568,56.27705627705628,184291497.60727593,0.9518568940694303,-20550157.234809905,54.97835497835498,0.09483450864355122,0.09483450864355122,17.316017316017316,0.159375,15.937499999999998,0.75,0.25,0.85,0.29653679653679654,0.0018305221598292057,0.33118560120166357,29.653679653679653,0.75,0.7,0.8996778401802495,87789280.64660823,1631274018.8124652,-20550157.234809905,liquido,0.9964035415331571,19361261000.0,151939000.0,0.0,71346000.0,19685910000.0,0.0,2312524000.0,151392557.69700637,0.0,19615110442.302994,71346000.0,606435000.0,12407429000.0,-457172000.0,30105399000.0,-1266656000.0,-0.06542218505292605,34063325.48182643,0.0,18728324.999999996,1471133283.1727247,0.0,312190740.0,0.0017593546970843703,0.0,0.000967309154088672,0.07598334029858514,0.0,0.016124504493793046,0.0201437290367751,-27.139520793049442,False,True,146315467.74434704,131636784.00519711,204841654.84208584,184291497.60727593,263367841.93982467,236946211.20935482
21490,461.0,ALUPAR INVESTIMENTO S/A,utilities,cvm,Emp. Adm. Part. - Energia Elétrica,Categoria A,BOLSA,consolidado,padrao,dva,1.9606010905522673,0.009008300549985734,189713922.54371548,4.740354637053796,31.38528138528138,39839923.73418026,0.9954744737812975,132799745.78060083,22.294372294372295,36052155.664300114,0.9008300549985736,-3787768.069880143,22.07792207792208,0.047403546370537966,0.047403546370537966,1.948051948051948,0.30000000000000004,30.000000000000004,0.75,0.4,1.0,0.33116883116883117,0.0023776048227777506,0.3661687883486141,33.116883116883116,0.9,0.7,0.904925318252292,17074253.028934397,149873998.8095352,-3787768.069880143,liquido,0.8373835826509195,4002104000.0,178570000.0,0.0,207099000.0,1094973000.0,0.0,9766000.0,149531586.3539747,0.0,916912413.6460253,207099000.0,807229000.0,11922397000.0,3072286000.0,30689036000.0,2275251000.0,0.5685137117875997,40373528.31557317,0.0,65236185.0,82522117.22814229,0.0,1582092.0,0.010088075751048241,0.0,0.016300472201621948,0.020619683353591583,0.0,0.0003953150642761908,0.02630349809619305,3.880627324409251,False,True,28457088.381557327,25751539.760214366,39839923.73418026,36052155.664300114,51222759.08680319,46352771.56838586
80195,462.0,"G2D INVESTMENTS, LTD.",outros,padrao,,,,individual,padrao,dva,0.0,0.0016871354487790935,796800.0,1.5023190919717937,0.21645021645021645,104580.0,0.19717938082129796,647400.0,0.21645021645021645,89482.28993234558,0.16871354487790938,-15097.710067654421,0.21645021645021645,0.015023190919717938,0.015023190919717938,0.21645021645021645,0.1875,18.75,0.75,0.25,1.0,0.027056277056277056,0.0,0.03756549578285064,2.7056277056277054,1.0,0.7,0.8556348243674275,44820.00000000001,692220.0,-15097.710067654421,liquido,1.0,53038000.0,2656000.0,0.0,0.0,0.0,0.0,0.0,2656000.0,0.0,0.0,0.0,4316000.0,33680000.0,-67319000.0,868650000.0,65309000.0,1.231362419397413,796800.0,0.0,0.0,0.0,0.0,0.0,0.015023190919717938,0.0,0.0,0.0,0.0,0.0,0.004968629482530363,-0.5003045202691662,False,True,74700.0,63915.92138024684,104580.0,89482.28993234558,134460.0,115048.65848444431
1520,,BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,industria,cvm,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,padrao,dva,,0.07897934222363313,21791565.231753543,65.863402139133,,3432171.5240011825,10.373485836913446,16888463.054608997,,3178522.7868681317,9.606851196482294,-253648.7371330508,,0.65863402139133,0.5414727543051877,,0.225,22.5,0.9,0.25,1.0,0.474025974025974,0.008990190484751864,0.5073114589227554,47.4025974025974,1.0,0.7,0.9260967188384133,1470930.6531433642,18359393.707752362,-253648.7371330508,liquido,0.5647726588980926,33086000.0,18870000.0,2189000.0,21700000.0,28800000.0,2445000.0,47836000.0,10657260.073407007,1236287.3503279246,16265452.576265067,21700000.0,17626000.0,165468000.0,-14568000.0,545083000.0,6101000.0,0.1843982349029801,3197178.022022102,395611.9521049359,7594999.999999999,1626545.2576265067,366750.0,8610480.0,0.09663235271782936,0.011957080097471314,0.22955328537750105,0.04916113333816438,0.011084748836365834,0.26024542102399806,0.03233635978373936,-11.35831960461285,False,False,2451551.0885722735,2270373.4191915225,3432171.5240011825,3178522.7868681317,4412791.959430092,4086672.154544741
1694,,BICICLETAS MONARK S.A.,industria,cvm,Brinquedos e Lazer,Categoria A,BOLSA,individual,padrao,dva,,0.24113613525106953,6032636.791210966,40.04671263416733,,4222845.753847676,28.03269884391713,0.0,,3632474.741422111,24.113613525106953,-590371.0124255652,,0.4004671263416733,0.4004671263416733,,1.0,100.0,1.0,1.0,1.0,0.05194805194805195,0.0,0.0679728839449962,5.194805194805195,1.0,0.7,0.8601959325917494,1809791.03736329,1809791.0373632899,-590371.0124255652,liquido,0.7617657247488494,15064000.0,7867000.0,1889000.0,4814000.0,10451000.0,0.0,7185000.0,5992810.956599198,1438975.4540505765,7961213.589350225,4814000.0,164596000.0,-160352000.0,2556000.0,232040000.0,15398000.0,1.0221720658523632,1797843.2869797593,460472.1452961845,1684900.0,796121.3589350226,0.0,1293300.0,0.11934700524294738,0.03056772074456881,0.11184944237918215,0.05284926705622827,0.0,0.08585369091874669,0.7093432166867781,-62.73552425665102,False,False,3016318.395605483,2594624.8153015077,4222845.753847676,3632474.741422111,5429373.11208987,4670324.667542715
3271,,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S/A,utilities,cvm,Energia Elétrica,Categoria B,BOLSA,individual,padrao,dva,,0.0218439688037665,146631347.3777181,10.580950954695508,,30792582.9493208,2.221999700486057,102641943.16440266,,30271481.188103635,2.18439688037665,-521101.76121716574,,0.10580950954695507,0.10580950954695507,,0.30000000000000004,30.000000000000004,0.75,0.4,1.0,0.8766233766233766,0.08145406820475065,0.8871802424900378,87.66233766233766,0.9,0.7,0.9830770363735056,13196821.263994632,115838764.4283973,-521101.76121716574,liquido,0.9389290367481044,1385805000.0,100791000.0,0.0,75466000.0,1134919000.0,5768000.0,3855000.0,94635596.54287818,0.0,1065608403.4571218,75466000.0,24029000.0,1340444000.0,205582000.0,2287348000.0,240488000.0,0.1735366808461508,25551611.06657711,0.0,23771790.0,95904756.31114098,778680.0,624510.0,0.01843809992500901,0.0,0.01715377704655417,0.06920508752035169,0.0005618972366242004,0.0004506478184160109,0.010505178923364526,6.520240098841338,False,False,21994702.106657717,21622486.56293117,30792582.9493208,30271481.188103635,39590463.791983895,38920475.81327611
3450,,COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES,utilities,cvm,Emp. Adm. Part. - Energia Elétrica,Categoria A,,individual,padrao,dva,,0.08151021565095047,1640856.4402730374,87.09429088498075,,287149.87704778154,15.241500904871632,1230642.3302047781,,247005.15628072261,13.110677084964045,-40144.72076705893,,0.8709429088498076,0.5414727543051877,,0.25,25.0,1.0,0.25,1.0,0.05194805194805195,0.0,0.0679728839449962,5.194805194805195,0.9,0.7,0.8601959325917494,123064.23302047783,1353706.5632252558,-40144.72076705893,liquido,0.4955631399317406,1884000.0,3692000.0,0.0,2217000.0,703000.0,0.0,2575000.0,1829619.1126279864,0.0,348380.88737201365,2217000.0,33751000.0,-33751000.0,-2487000.0,42770000.0,555000.0,0.2945859872611465,493997.16040955635,0.0,698355.0,31354.27986348123,0.0,417150.0,0.26220656072694076,0.0,0.37067675159235663,0.016642399078280908,0.0,0.2214171974522293,0.7891278933832125,13.570969039002815,False,False,205107.05503412968,176432.25448623046,287149.87704778154,247005.15628072261,369192.69906143344,317578.05807521485
3549,,CIA INDUSTRIAL SCHLOSSER S.A.,industria,cvm,Têxtil e Vestuário,Categoria A,,consolidado,padrao,dre,,0.0,186000.0,,,32549.999999999996,,139500.0,,28267.0680539352,,-4282.931946064797,,0.0,0.0,,0.25,25.0,1.0,0.25,1.0,0.09956709956709957,0.00013541556751433295,0.12279939660731215,9.956709956709958,1.0,0.7,0.8684199094910968,13950.000000000002,153450.0,-4282.931946064797,liquido,1.0,0.0,293000.0,0.0,0.0,0.0,0.0,545000.0,293000.0,0.0,0.0,0.0,6892000.0,20264000.0,-189000.0,56862000.0,11848000.0,,87900.0,0.0,0.0,0.0,0.0,98100.0,,,,,,,0.12120572614399774,-107.21693121693121,False,False,23250.0,20190.762895668002,32549.999999999996,28267.0680539352,41850.0,36343.3732122024
3824,,CIA PAULISTA DE FORCA E LUZ,utilities,cvm,Energia Elétrica,Categoria B,BALCÃO ORGANIZADO,individual,padrao,dre,,0.03233314390445309,1462320131.227487,9.429783138786062,,537402648.2261014,3.4654453035038766,694602062.3330564,,501405032.7719819,3.23331439044531,-35997615.4541195,,0.0942978313878606,0.0942978313878606,,0.5249999999999999,52.49999999999999,0.75,0.7,1.0,0.5216450216450217,0.012905462759078471,0.5534370665652267,52.16450216450217,0.9,0.7,0.933015559984784,230315420.66832924,924917483.0013857,-35997615.4541195,liquido,0.9498660371429867,15507463000.0,514679000.0,429448000.0,625763000.0,11537691000.0,194828000.0,19090000.0,488876102.13071525,407918069.9189813,10959260827.950302,625763000.0,392633000.0,8762527000.0,2974471000.0,21128975000.0,2019009000.0,0.13019595790749267,131996547.57529312,117480404.13666663,197115345.0,986333474.5155272,26301780.0,3092580.0,0.008511807996916913,0.007575733318639331,0.012710998891308011,0.06360379350997176,0.0016960724007531085,0.00019942527027148156,0.018582680891997837,2.9459110544362344,False,False,383859034.4472153,358146451.9799871,537402648.2261014,501405032.7719819,690946262.0049876,644663613.5639768
4081,,CIA TECIDOS SANTANENSE EM RECUPERAÇÃO JUDICIAL,industria,cvm,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,padrao,dva,,0.06113266173821284,40665346.29748003,114.38594216050191,,5337326.701544254,15.013154908565873,33040593.866702527,,4591146.7195817055,12.914254787718225,-746179.9819625486,,1.1438594216050193,0.5414727543051877,,0.1875,18.75,0.75,0.25,1.0,0.05194805194805195,5.942379715092605e-07,0.0679728839449962,5.194805194805195,1.0,0.7,0.8601959325917494,2287425.7292332524,35328019.59593578,-746179.9819625486,liquido,0.6099322067469142,35551000.0,17789000.0,6578000.0,43326000.0,86706000.0,0.0,87077000.0,10850084.025820857,4012134.0559812016,52884781.91819794,43326000.0,3363000.0,235841000.0,-98244000.0,673131000.0,34694000.0,0.9758937863913814,3255025.207746257,1283882.8979139845,15164099.999999998,5288478.1918197945,0.0,15673860.0,0.09155931500509851,0.03611383358875937,0.42654496357345784,0.14875750870073398,0.0,0.4408838007369694,0.004996055745464107,-2.4005639021212493,False,False,3812376.215388753,3279390.5139869326,5337326.701544254,4591146.7195817055,6862277.187699756,5902902.925176479
